Date,Open,High,Low,Close,Adj Close,Volume
2020-03-23,5.000000,5.040000,4.260000,4.410000,4.410000,96348200
2020-03-24,4.920000,5.190000,4.630000,5.010000,5.010000,96097700
2020-03-25,5.010000,5.960000,5.010000,5.710000,5.710000,127670900
2020-03-26,5.450000,6.420000,5.440000,5.700000,5.700000,128792300
2020-03-27,5.350000,6.000000,5.240000,5.700000,5.700000,96226100
2020-03-30,5.980000,6.190000,5.430000,5.450000,5.450000,69774600
2020-03-31,5.500000,5.650000,5.200000,5.280000,5.280000,64283100
2020-04-01,4.660000,4.940000,4.560000,4.650000,4.650000,100418200
2020-04-02,4.710000,4.780000,4.320000,4.380000,4.380000,74757000
2020-04-03,4.360000,4.370000,3.960000,4.100000,4.100000,94686300
2020-04-06,4.450000,4.580000,4.080000,4.360000,4.360000,89393700
2020-04-07,4.720000,4.760000,4.400000,4.420000,4.420000,79731500
2020-04-08,4.350000,5.150000,4.280000,5.030000,5.030000,120215800
2020-04-09,5.320000,5.540000,5.010000,5.150000,5.150000,114671500
2020-04-13,5.050000,5.450000,5.020000,5.430000,5.430000,77796500
2020-04-14,5.680000,6.100000,5.620000,6.090000,6.090000,98924800
2020-04-15,5.770000,6.570000,5.660000,6.320000,6.320000,118257800
2020-04-16,6.600000,6.720000,6.310000,6.410000,6.410000,110060200
2020-04-17,6.650000,6.730000,6.360000,6.480000,6.480000,66235700
2020-04-20,6.250000,6.750000,6.150000,6.590000,6.590000,99660100
2020-04-22,6.620000,7.490000,6.620000,7.400000,7.400000,115694800
2020-04-23,7.850000,8.150000,7.070000,7.360000,7.360000,176874100
2020-04-24,7.170000,7.280000,6.040000,6.380000,6.380000,208264300
2020-04-27,7.200000,7.610000,6.860000,7.570000,7.570000,185849500
2020-04-28,8.290000,9.570000,8.220000,9.040000,9.040000,308562800
2020-04-29,9.520000,9.810000,8.580000,9.180000,9.180000,235755300
2020-04-30,8.770000,9.320000,8.660000,9.180000,9.180000,157175600
2020-05-04,8.800000,9.600000,8.780000,9.500000,9.500000,107827200
2020-05-05,9.940000,10.410000,9.640000,9.700000,9.700000,174285400
2020-05-06,10.050000,10.230000,9.840000,10.010000,10.010000,148654000
2020-05-07,10.390000,10.390000,9.650000,9.740000,9.740000,145624300
2020-05-08,9.180000,9.620000,8.350000,8.850000,8.850000,243050300
